dateTime,level,seconds,num,time,prev,next
2022-05-11T00:28:30.000,wake,270,3,00:28,wake,light
2022-05-11T00:33:00.000,light,180,1,00:33,wake,wake
2022-05-11T00:36:00.000,wake,360,3,00:36,light,light
2022-05-11T00:42:00.000,light,6660,1,00:42,wake,deep
2022-05-11T02:33:00.000,deep,270,0,02:33,light,light
2022-05-11T02:37:30.000,light,60,1,02:37,deep,rem
2022-05-11T02:38:30.000,rem,300,2,02:38,light,light
2022-05-11T02:43:30.000,light,180,1,02:43,rem,deep
2022-05-11T02:46:30.000,deep,480,0,02:46,light,light
2022-05-11T02:54:30.000,light,1380,1,02:54,deep,rem
2022-05-11T03:17:30.000,rem,1860,2,03:17,light,light
2022-05-11T03:48:30.000,light,1350,1,03:48,rem,deep
2022-05-11T04:11:00.000,deep,840,0,04:11,light,light
2022-05-11T04:25:00.000,light,1770,1,04:25,deep,rem
2022-05-11T04:54:30.000,rem,1800,2,04:54,light,light
2022-05-11T05:24:30.000,light,720,1,05:24,rem,deep
2022-05-11T05:36:30.000,deep,330,0,05:36,light,light
2022-05-11T05:42:00.000,light,1080,1,05:42,deep,deep
2022-05-11T06:00:00.000,deep,630,0,06:00,light,rem
2022-05-11T06:10:30.000,rem,330,2,06:10,deep,light
2022-05-11T06:16:00.000,light,420,1,06:16,rem,wake
2022-05-11T06:23:00.000,wake,900,3,06:23,light,rem
2022-05-11T06:38:00.000,rem,1290,2,06:38,wake,wake
2022-05-11T06:59:30.000,wake,390,3,06:59,rem,light
2022-05-11T07:06:00.000,light,300,1,07:06,wake,wake
